Date,Maximum Air Temperature,Minimum Air Temperature,Grass Minimum Temperature,~38 Quartile Humidity,Rainfall,Total rainfall since 1st January,Against an average of
2017-07-06,28.7,25.8,26.2,96.7,16.3,1290.5,1166.1
2017-07-05,31.0,26.5,26.1,86.6,27.5,1274.2,1152.1
2017-07-04,28.6,25.3,25.1,93.7,32.3,1246.7,1143.9
2017-07-03,30.7,26.7,27.0,86.3,8.4,1214.4,1130.8
2017-07-02,30.3,26.2,25.5,88.1,8.8,1206.0,1115.5
2017-07-01,31.7,26.7,25.5,76.4,7.4,1197.2,1106.4
2017-06-30,33.7,27.6,26.4,67.5,0.0,1189.8,1096.9
2017-06-29,32.8,27.9,26.7,72.8,0.0,1189.8,1084.2
2017-06-28,32.3,28.2,26.7,75.4,0.0,1189.8,1076.5
2017-06-27,31.5,28.6,27.2,80.6,1.3,1189.8,1062.8
2017-06-26,32.0,28.6,26.8,78.3,0.1,1188.5,1049.0
2017-06-25,31.5,26.8,26.0,78.0,4.2,1188.4,1027.0
2017-06-24,30.8,26.4,26.6,84.5,18.3,1184.2,1004.9
2017-06-23,31.6,27.5,26.4,78.4,10.5,1165.9,985.8
2017-06-22,32.4,28.0,26.7,76.0,0.0,1155.4,966.5
2017-06-21,29.2,25.2,24.6,89.7,95.9,1155.4,956.8
2017-06-20,28.2,25.2,24.6,89.8,24.8,1059.5,944.7
2017-06-19,28.3,25.3,24.6,86.8,32.6,1034.7,936.0
2017-06-18,27.3,24.7,24.0,94.7,24.2,1002.1,927.3
2017-06-17,28.4,24.4,24.0,101.8,138.0,977.9,914.9
2017-06-16,29.6,27.8,26.5,89.0,13.5,839.9,891.9
2017-06-15,31.1,26.8,25.6,82.1,14.5,826.4,869.7
2017-06-14,29.5,25.5,25.3,86.5,15.6,811.9,857.2
2017-06-13,28.9,24.3,24.1,94.8,219.4,796.3,847.7
2017-06-12,30.0,25.3,25.1,85.8,37.7,576.9,829.1
2017-06-11,34.1,28.1,27.1,74.8,0.0,539.2,818.6
2017-06-10,33.8,28.0,26.9,75.5,0.0,539.2,795.5
2017-06-09,31.9,28.1,26.7,79.8,1.1,539.2,778.4
2017-06-08,32.5,28.3,27.2,79.6,0.0,538.1,741.8
2017-06-07,34.0,27.2,26.3,70.5,4.3,538.1,729.3
2017-06-06,33.8,28.5,27.0,73.7,0.0,533.8,704.7
2017-06-05,33.5,28.8,27.5,77.6,0.0,533.8,689.0
2017-06-04,31.2,29.3,28.0,81.5,0.0,533.8,681.5
2017-06-03,32.5,28.5,27.6,81.1,0.0,533.8,668.3
2017-06-02,30.6,28.6,27.5,87.9,0.0,533.8,658.6
2017-06-01,30.6,27.8,26.9,85.7,0.0,533.8,650.8
2017-05-31,31.3,25.6,25.1,74.0,0.0,533.8,640.8
2017-05-30,30.9,25.1,25.4,73.8,0.0,533.8,625.3
2017-05-29,30.3,24.9,25.3,69.2,0.0,533.8,611.5
2017-05-28,30.5,24.8,24.1,59.1,0.0,533.8,594.7
2017-05-27,30.4,24.0,23.3,48.3,0.0,533.8,581.8
2017-05-26,26.8,23.9,23.4,72.0,0.0,533.8,570.3
2017-05-25,28.5,23.9,23.9,75.0,0.0,533.8,563.8
2017-05-24,26.2,24.2,24.2,93.9,273.6,533.8,557.0
2017-05-23,28.5,24.6,24.8,94.9,4.1,260.2,547.1
2017-05-22,25.2,23.8,24.1,98.8,5.6,256.1,540.5
2017-05-21,24.9,23.0,24.0,95.4,4.4,250.5,533.2
2017-05-20,24.8,22.7,24.0,94.1,0.3,246.1,519.5
2017-05-19,26.0,23.7,24.5,81.1,0.7,245.8,498.9
2017-05-18,27.4,24.3,24.7,70.3,0.1,245.1,488.0
2017-05-17,29.9,23.8,23.5,69.9,0.0,245.0,482.1
2017-05-16,26.6,23.6,24.2,82.6,3.0,245.0,472.8
2017-05-15,27.0,24.6,25.1,94.7,38.5,242.0,468.9
2017-05-14,29.5,24.8,24.2,85.2,0.0,203.5,460.1
2017-05-13,26.6,24.5,24.7,80.9,4.7,203.5,455.2
2017-05-12,30.7,26.0,25.1,70.1,0.0,198.8,453.7
2017-05-11,31.6,25.7,24.9,74.1,0.0,198.8,449.5
2017-05-10,29.6,25.3,24.7,79.1,0.0,198.8,438.9
2017-05-09,29.3,22.6,22.1,78.5,10.8,198.8,425.9
2017-05-08,28.6,23.1,22.1,84.9,9.2,188.0,417.2
2017-05-07,27.7,24.8,24.3,84.5,1.8,178.8,397.9
2017-05-06,31.1,25.3,24.2,70.9,0.0,177.0,389.8
2017-05-05,29.8,23.4,22.6,78.5,0.0,177.0,385.1
2017-05-04,27.6,22.9,23.0,93.7,42.5,177.0,375.0
2017-05-03,31.3,25.6,25.0,74.9,0.0,134.5,368.7
2017-05-02,28.1,24.3,23.5,87.1,0.0,134.5,357.8
2017-05-01,29.5,22.6,21.6,74.9,0.0,134.5,341.2
2017-04-30,28.2,21.4,20.2,68.5,0.0,134.5,336.1
2017-04-29,27.3,19.9,19.2,69.8,0.0,134.5,330.3
2017-04-28,24.8,20.2,20.0,73.1,0.0,134.5,323.7
2017-04-27,24.0,20.6,20.9,84.8,3.5,134.5,318.9
2017-04-26,26.8,22.4,22.2,96.7,2.9,131.0,313.1
2017-04-25,22.9,20.7,21.1,94.8,10.9,128.1,308.2
2017-04-24,22.8,20.9,21.0,87.7,0.0,117.2,304.1
2017-04-23,21.8,19.9,20.7,84.3,1.4,117.2,297.0
2017-04-22,24.5,18.5,20.7,73.4,6.6,115.8,287.6
2017-04-21,29.4,22.8,23.2,88.4,7.8,109.2,283.2
2017-04-20,27.5,25.1,24.8,87.3,3.1,101.4,277.4
2017-04-19,29.4,24.7,23.3,71.8,0.0,98.3,273.5
2017-04-18,30.7,23.9,22.9,67.4,0.0,98.3,260.5
2017-04-17,29.4,23.7,23.1,72.2,0.0,98.3,257.9
2017-04-16,30.2,23.0,23.3,72.5,0.0,98.3,252.1
2017-04-15,26.9,21.6,20.8,86.1,0.0,98.3,251.5
2017-04-14,24.7,19.9,20.2,77.7,0.0,98.3,249.7
2017-04-13,21.5,18.8,19.7,75.6,0.0,98.3,244.0
2017-04-12,22.8,18.2,19.9,90.7,21.5,98.3,238.7
2017-04-11,27.8,22.2,22.6,91.7,0.6,76.8,230.8
2017-04-10,28.1,26.3,24.7,86.7,0.0,76.2,225.6
2017-04-09,27.9,23.5,21.9,87.2,0.0,76.2,216.4
2017-04-08,27.5,23.0,22.0,82.3,0.0,76.2,210.2
2017-04-07,27.9,22.6,21.9,80.3,0.0,76.2,201.5
2017-04-06,25.0,22.5,22.6,88.2,0.3,76.2,196.6
2017-04-05,27.9,20.9,20.3,75.0,0.0,75.9,187.8
2017-04-04,26.0,19.3,18.4,70.5,0.0,75.9,180.7
2017-04-03,24.5,17.5,16.3,64.7,0.0,75.9,174.3
2017-04-02,24.2,17.0,16.0,50.5,0.0,75.9,166.5
2017-04-01,23.9,15.5,15.2,59.2,0.2,75.9,162.7
2017-03-31,23.7,15.5,16.2,88.7,21.9,75.7,161.3
2017-03-30,23.1,21.0,20.9,90.4,0.0,53.8,159.6
2017-03-29,23.7,20.4,19.6,83.0,0.3,53.8,154.8
2017-03-28,24.9,18.1,15.8,69.6,0.0,53.5,148.6
2017-03-27,21.5,16.3,14.6,46.1,0.0,53.5,147.0
2017-03-26,16.9,13.8,15.8,73.3,1.0,53.5,142.4
2017-03-25,23.4,16.5,18.5,81.3,0.0,52.5,140.1
2017-03-24,22.4,18.9,19.7,85.1,0.0,52.5,132.3
2017-03-23,24.6,19.0,18.9,77.1,0.0,52.5,129.3
2017-03-22,19.7,17.6,19.0,92.4,0.9,52.5,124.1
2017-03-21,27.6,19.1,20.7,78.6,0.6,51.6,120.0
2017-03-20,27.1,18.6,19.0,76.8,0.0,51.0,119.2
2017-03-19,20.6,18.9,19.0,99.9,10.7,51.0,118.1
2017-03-18,20.1,17.4,17.7,92.5,0.3,40.3,113.9
2017-03-17,20.4,17.0,17.4,89.1,0.0,40.0,112.6
2017-03-16,19.0,16.8,16.6,81.3,0.0,40.0,107.3
2017-03-15,17.9,16.2,16.6,75.1,0.0,40.0,103.9
2017-03-14,22.0,16.8,17.7,99.7,8.5,40.0,101.9
2017-03-13,24.4,19.4,18.1,91.8,0.0,31.5,101.7
2017-03-12,19.5,17.0,17.2,92.6,1.0,31.5,101.4
2017-03-11,18.4,16.7,17.2,93.3,0.0,30.5,99.3
2017-03-10,19.2,16.4,16.5,93.3,0.0,30.5,98.7
2017-03-09,19.6,16.0,15.9,68.0,0.0,30.5,97.5
2017-03-08,17.3,15.0,16.4,89.5,2.8,30.5,96.7
2017-03-07,20.7,17.1,17.6,70.3,0.0,27.7,96.3
2017-03-06,23.5,17.9,17.9,71.6,0.0,27.7,95.9
2017-03-05,24.0,18.7,17.9,85.1,0.0,27.7,94.8
2017-03-04,21.8,16.8,15.6,71.9,0.0,27.7,93.0
2017-03-03,20.1,15.7,13.9,56.6,0.0,27.7,91.0
2017-03-02,23.9,17.2,13.9,32.2,0.0,27.7,86.7
2017-03-01,22.9,15.9,14.9,62.2,0.0,27.7,82.2
2017-02-28,20.8,15.1,13.5,57.3,0.0,27.7,78.9
2017-02-27,19.8,15.4,14.9,48.5,0.0,27.7,77.3
2017-02-26,17.0,10.6,11.8,75.5,1.4,27.7,75.4
2017-02-25,13.8,10.7,12.5,84.5,0.7,26.3,73.9
2017-02-24,15.1,12.0,14.1,84.9,0.0,25.6,71.1
2017-02-23,20.2,15.0,16.2,86.7,0.0,25.6,69.4
2017-02-22,21.3,16.4,16.9,92.8,8.0,25.6,67.0
2017-02-21,21.1,16.6,17.1,87.6,4.6,17.6,65.6
2017-02-20,25.5,18.3,18.0,78.1,0.0,13.0,64.3
2017-02-19,19.1,16.4,16.3,86.0,0.3,13.0,62.6
2017-02-18,24.1,18.0,15.8,62.6,0.0,12.7,60.3
2017-02-17,25.4,17.1,15.3,65.3,0.0,12.7,57.6
2017-02-16,24.0,15.4,13.8,59.2,0.0,12.7,54.0
2017-02-15,20.9,15.3,13.3,54.9,0.0,12.7,52.6
2017-02-14,21.1,15.6,14.2,53.0,0.0,12.7,50.8
2017-02-13,20.1,13.1,11.5,54.9,0.0,12.7,48.9
2017-02-12,19.1,12.5,11.5,51.1,0.0,12.7,47.5
2017-02-11,17.9,11.5,11.3,47.8,0.0,12.7,44.9
2017-02-10,15.6,10.8,11.7,57.2,0.0,12.7,42.6
2017-02-09,16.8,11.1,11.9,54.1,0.0,12.7,41.5
2017-02-08,20.6,15.5,16.3,78.6,0.0,12.7,40.8
2017-02-07,18.7,15.9,15.2,73.1,0.0,12.7,38.2
2017-02-06,19.7,16.9,16.4,78.0,0.0,12.7,32.5
2017-02-05,22.0,16.7,16.6,77.7,3.3,12.7,30.8
2017-02-04,20.9,16.3,15.4,75.2,1.6,9.4,28.4
2017-02-03,19.6,15.4,15.5,70.3,0.0,7.8,27.8
2017-02-02,17.7,16.2,16.8,87.9,0.0,7.8,26.6
2017-02-01,22.0,16.6,16.5,75.0,0.0,7.8,25.0
2017-01-31,17.6,15.9,16.7,92.5,0.5,7.8,24.7
2017-01-30,23.4,17.4,18.2,88.5,1.2,7.3,24.4
2017-01-29,21.5,18.1,16.9,86.6,2.4,6.1,23.5
2017-01-28,18.8,16.4,14.8,76.7,0.3,3.7,22.9
2017-01-27,21.3,14.4,13.0,50.5,0.0,3.4,22.0
2017-01-26,19.8,16.2,14.8,72.4,0.0,3.4,21.3
2017-01-25,20.9,15.9,15.0,73.3,0.0,3.4,19.8
2017-01-24,18.9,15.7,15.2,65.8,0.0,3.4,18.6
2017-01-23,19.4,15.2,14.2,70.1,0.0,3.4,17.5
2017-01-22,19.8,13.6,12.6,51.5,0.0,3.4,14.8
2017-01-21,19.0,14.6,14.3,62.0,0.0,3.4,14.7
2017-01-20,20.6,16.2,16.5,63.6,0.0,3.4,14.3
2017-01-19,24.1,18.7,18.0,81.2,0.0,3.4,14.1
2017-01-18,20.0,18.0,17.9,90.1,0.0,3.4,12.8
2017-01-17,19.2,16.7,16.2,77.4,0.0,3.4,11.9
